,Hogwarts House,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
0,Ravenclaw,0,0.5347341326212811,-1.025753991942914,0.8687734732183369,1.0257539919429137,0.36686269968151447,1.0205235834486532,0.3395423305095614,0.5053810811951825,0.22566537548145618,-0.6996338360926718,0.8021975219494483,1.1980872383762968,-0.51147256094075
1,Slytherin,1,1.0649243472399184,-1.1489422108815635,-1.3740599233961697,1.1489422108815635,-2.1468860718767844,-0.5452466110851132,-1.2041085076137295,0.25321654771900226,0.6612055791176817,0.4149211650783054,0.1603764498283776,-1.00774957608026,-1.3969514122987015
2,Ravenclaw,0,-1.5418392184124372,-0.7919294741150129,1.2512708711067884,0.791929474115013,0.7117916485947783,1.8305630718821662,0.9964691113210303,0.129457097880051,1.323821525569779,0.891823515436829,-0.4636951984168665,1.818240656614814,0.07478891053942795
3,Gryffindor,0,-1.0050627899476057,1.2501607526935599,-1.4716581034596246,-1.2501607526935599,0.19756047934044854,-0.6476425286593256,0.25986803294867306,-1.7474298241055446,-2.4889553781189675,-1.6563005769386194,0.05168884947049494,-1.5381574185678923,1.8160806166178762
5,Slytherin,1,-1.6911067740357306,-1.2672397734092442,-1.0489202504329789,1.2672397734092438,-2.385271382127136,-0.44969154901400393,-0.9375792392999448,0.5388629973689358,0.5225282411794492,1.8659649514841385,1.145544238379617,-0.5255465634426469,-0.5912638622414895
8,Gryffindor,0,-1.7468500930430655,0.8636565318822892,-1.2263412946284495,-0.8636565318822892,0.6424653083689109,-0.8322889729702826,0.6708887201882145,-2.0590825383182176,-2.378365726446906,-1.5710236503741735,1.2454134821832716,-1.0181427257831392,2.260763676559306
9,Hufflepuff,1,-0.18783340097755724,0.9227771213200875,1.2890238326079084,-0.9227771213200874,0.03458276723051444,-0.3612441986921101,-1.4504260695471634,0.4487405490935446,0.2626430522395856,-1.254448633261853,-0.47834765344576385,-0.1421490044273805,-0.23731783339461895
10,Hufflepuff,1,-0.8283127601842837,1.0720063368586294,0.8222512871781382,-1.07200633685863,0.521569901027661,-0.6348478608757879,-0.10663218422902843,0.6105188784977218,0.1460224802905564,1.0737815794351275,-0.44439388990356776,0.0721289383139127,0.42454078124100325
11,Hufflepuff,0,-0.1738227278865622,0.7526316175051916,0.7909156759800041,-0.7526316175051913,-0.04860884104052674,-0.609619954100766,-0.74207581835495,0.4089877092035556,0.38421974287341903,0.13396744132435862,-0.8793775114225223,-0.18061935726256614,-0.025052512626625747
12,Hufflepuff,1,-1.3655083113484183,1.271951500607055,0.0987780903816867,-1.271951500607055,0.9431226996642522,-0.2181698479607785,-0.5692899119328462,0.7453630784943649,0.16291450473060962,0.6925735187605606,-0.8994317545694407,-0.07711901213148094,-0.15906098019581666
13,Slytherin,0,-0.6867091624911073,-1.1338380405692399,-1.627051604801289,1.1338380405692394,-2.285052251695355,-0.20009492894441994,-0.9802074991116043,-0.01432850340129381,1.1986150928248367,1.6073628450165187,1.889897607352599,-0.8872670791579595,-1.0590659402521079
14,Ravenclaw,1,-0.27914227475434117,-0.46838582655987737,0.29732840683238265,0.4683858265598773,0.8244165451722403,1.546972945969859,1.0246323516934845,0.5612574781490697,0.7652862781059224,1.110634714598276,-1.077815889819796,1.2133777730913133,-0.44037646555098836
15,Ravenclaw,0,-1.6658995374062053,-0.9485170681295799,0.5470409273037466,0.9485170681295799,0.4220805215456266,2.1300789482947353,1.1177860427725588,0.15142621995351907,1.0456565118403431,1.1800581739495113,0.6491680288658664,1.5862104042069884,-0.06249304631389587
16,Gryffindor,0,-0.45182082686728864,0.8142441479677597,-1.2842322786159508,-0.8142441479677596,0.2946173556566631,-0.43586756188924647,0.9404747270449485,-1.602081157364796,-1.4241668673021148,-0.30096211916945526,-1.101779272492099,-1.017895865725616,1.546324640297299
17,Gryffindor,0,0.559402497208845,1.1608155001088183,-1.150693213091896,-1.1608155001088185,0.2780763341290878,-0.5059550852432431,1.2193860462452282,-1.836511881289956,-2.1436427942064307,-0.9339817671905661,0.24462121338484055,-1.319340436059253,1.9360744581893732
18,Ravenclaw,1,-2.028261048289547,-0.3792420369050658,1.0879285597659447,0.37924203690506575,1.1413717076785754,1.7904669123068087,1.0419889072292314,0.7491318198156864,1.3912678427359462,1.8522892296941307,0.33400802248444145,1.883503857720815,-0.1216204465085465
19,Hufflepuff,1,0.4464189924109491,0.7901980314088778,1.1089372380479556,-0.7901980314088778,0.6013560048665543,-0.7356192449519185,-0.8708015653337546,0.28881017206054893,0.5041136074031052,-0.8072261295316197,0.13830403988233378,0.03716354325396465,-0.19742218274424916
22,Ravenclaw,0,-0.5736059083505533,-0.5972878265478426,0.9114242319521244,0.5972878265478426,0.8793911167197703,1.9966960518098744,1.2236072341046387,0.4281255453464875,1.1296788527547958,1.0818277448810831,0.44075881028597413,1.6531811488445174,-0.25399216943567093
23,Hufflepuff,0,-0.2674068391738496,1.20298562367438,-0.20254899116470954,-1.2029856236743801,1.509895937300292,-1.0037257009843479,-0.3219428929038363,-0.5489770990367521,0.9940762872417469,0.12399657616052968,1.8630462005839368,-0.28496380452582426,0.003590518609537201
24,Ravenclaw,0,1.8012630552444355,-1.070557768585645,1.2968693195473329,1.070557768585645,0.6215457811428596,1.3251093101627993,1.5641006551240029,0.922380166669709,0.12645684969382479,0.4277111892827244,0.30881487244115285,1.6479151801520238,-0.3018669502161147
25,Hufflepuff,0,-0.17651708809636896,0.8862428292363079,0.9426684838311105,-0.8862428292363079,0.017068744436610935,-0.3394992147009348,-0.8333896319060025,0.4854138811876932,0.16409942849996811,-0.2746190394626297,1.4335647824824354,-0.15197904017415942,-0.034259201238249534
26,Slytherin,0,1.005468798610183,-0.8935637296024425,-1.5019110287361688,0.8935637296024425,-2.242726696610089,-0.20436926788035698,-0.8211316274543399,0.41716836435221805,0.22919443417181992,0.895210077753186,0.08955735052620306,-1.105952099608203,-1.1717967274744348
27,Hufflepuff,1,-0.9856633964369972,1.0867085691049638,0.5699405022774967,-1.0867085691049643,0.46902783264595105,-0.6307521370741475,-0.38549789910771365,-0.2464897153956786,0.407566760527418,0.2286277921494488,0.6877450210863293,-0.20642476530329212,0.543102471250692
28,Gryffindor,0,-0.5419920818888209,0.36551273285014513,-1.1998935599620164,-0.3655127328501452,0.5602467013641979,-0.6636384190465852,1.0106297880534336,-1.7801164369954912,-1.1815072908951458,-0.5105345388335586,-1.528540936200412,-0.6896311446263205,1.5339467589416713
29,Hufflepuff,1,-0.03718872791369601,0.7906107647003342,0.4101612879205354,-0.7906107647003341,0.6276270390574092,-0.27679305433371576,-1.5824745949501327,1.2558705724630606,0.48841643616177843,-0.6143437938329949,0.2899839847576625,-0.04611816684327062,-1.259976345065765
30,Hufflepuff,0,-0.02808777787168214,1.0626913386428494,0.43557532359594603,-1.0626913386428494,0.892040133182034,-0.9394500434896087,-1.021602541564986,0.6077725377704429,0.8953450074898722,0.15747686612551148,2.072832145120289,-0.14716925066630637,-0.6101887221653829
31,Gryffindor,0,0.5184482220197826,0.8981072985399029,-0.7699419138068879,-0.8981072985399029,0.6178970263941296,-0.9531563930684855,1.1450590659230953,-2.239764234420785,-1.6545468377619055,-1.3629231722950146,0.4348041643153353,-1.0249967895922285,2.0529994035569956
